adapt_image_to_grid,algebra,associate_color_to_bools,associate_colors_to_bools,associate_colors_to_colors,associate_colors_to_images,associate_colors_to_numbers,associate_colors_to_patterns,associate_colors_to_ranks,associate_colors_to_shapes,associate_images_to_bools,associate_images_to_colors,associate_images_to_images,associate_images_to_numbers,associate_images_to_patterns,associate_patterns_to_colors,associate_patterns_to_patterns,background_filling,bounce,bouncing,bridges,bring_patterns_close,color_guessing,color_matching,color_palette,color_permutation,compare_image,concentric,connect_the_dots,contouring,count_different_colors,count_hor_lines,count_patterns,count_shapes,count_tiles,count_ver_lines,create_grid,create_image_from_info,crop,cylindrical,detect_background_color,detect_closed_curves,detect_connectedness,detect_enclosure,detect_grid,detect_hor_lines,detect_repetition,detect_symmetry,detect_wall,diagonal_symmetry,diagonals,direction_guesingcrop,direction_guessing,divide_by_n,dominant_color,draw_line_from_border,draw_line_from_point,draw_parallel_line,draw_pattern_from_point,draw_rectangle,enlarge_image,even_or_odd,ex_nihilo,extrapolate_image_from_grid,find_the_intruder,fractal_repetition,gravity,grid_coloring,holes,homeomorphism,image_expansion,image_expasion,image_filling,image_juxtaposition,image_reflection,image_repetition,image_resizing,image_rotation,image_within_image,inside_out,jigsaw,loop_filling,maze,measure_area,measure_distance_from_side,measure_length,mimic_pattern,obstacles,one_yes_one_no,only_one,order_numbers,out_of_boundary,pairwise_analogy,pattern_alignment,pattern_coloring,pattern_completion,pattern_deconstruction,pattern_differences,pattern_expansion,pattern_intersection,pattern_juxtaposition,pattern_modification,pattern_moving,pattern_reflection,pattern_repetition,pattern_resizing,pattern_rotation,portals,projection_unto_rectangle,proximity_guessing,recolor,recoloring,rectangle_guessing,remove_intruder,remove_intruders,remove_noise,replace_pattern,rettangle_guessing,separate_image,separate_images,separate_shapes,shape_guessing,size_guessing,spacing,summarize,take_complement,take_half,take_intersection,take_maximum,take_minimum,take_negative,x_marks_the_spot
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
-1.0000,-1.0000,-1.0000,0.8205,0.2564,-1.0000,0.7692,0.3846,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.9744,0.6923,0.9487,-1.0000,-1.0000,-1.0000,0.7658,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.4595,-1.0000,-1.0000,-1.0000,0.9306,-1.0000,-1.0000,0.7692,-1.0000,-1.0000,0.3333,-1.0000,0.3846,-1.0000,0.9231,-1.0000,0.5658,-1.0000,0.6486,-1.0000,-1.0000,0.8718,0.6319,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,1.0000,-1.0000,0.6184,-1.0000,-1.0000,-1.0000,0.7949,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.8718,-1.0000,-1.0000,-1.0000,0.7292,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.7436,-1.0000,0.3590,-1.0000,1.0000,0.5263,0.8205,-1.0000,0.9099,0.5385,0.4000,-1.0000,0.1667,0.3158,0.7353,-1.0000,0.2051,-1.0000,1.0000,-1.0000,-1.0000,0.5022,0.8462,-1.0000,0.6667,-1.0000,0.4605,0.9231,-1.0000,0.9730,-1.0000,-1.0000,-1.0000,-1.0000,0.9211,0.8974,-1.0000,0.7179,0.3333,-1.0000,0.9744,0.3590
1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,0.43694,1.00000,1.00000,1.00000,0.68056,1.00000,1.00000,0.50000,1.00000,1.00000,0.17949,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.53604,1.00000,1.00000,0.50000,0.70833,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.91026,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.64865,0.50000,0.48571,1.00000,0.33333,0.50000,0.68137,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.70513,1.00000,0.50000,1.00000,0.50000,0.50000,1.00000,0.78378,1.00000,1.00000,1.00000,1.00000,0.92105,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000
1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.91667,1.00000,1.00000,0.50000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.75676,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,1.00000,0.90541,1.00000,1.00000,1.00000,1.00000,0.75000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000
1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.94444,1.00000,1.00000,0.50000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000
1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.70833,1.00000,1.00000,0.50000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000
1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.72222,1.00000,1.00000,0.50000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000
1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.61111,1.00000,1.00000,0.50000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000
1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.48611,1.00000,1.00000,0.50000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000
1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,0.50000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,1.00000,1.00000,1.00000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000,1.00000,0.50000,0.50000
